
2024/11/07 (14:57:36) | ===> btop++ v.1.4.0
2024/11/07 (14:57:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (16:15:25) | ===> btop++ v.1.4.0
2024/11/07 (16:15:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (12:43:54) | ===> btop++ v.1.4.0
2024/11/08 (12:43:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (16:16:13) | ===> btop++ v.1.4.0
2024/11/08 (16:16:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (16:27:19) | ===> btop++ v.1.4.0
2024/11/08 (16:27:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (20:46:03) | ===> btop++ v.1.4.0
2024/11/08 (20:46:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (20:34:27) | ===> btop++ v.1.4.0
2024/11/09 (20:34:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (09:18:28) | ===> btop++ v.1.4.0
2024/11/10 (09:18:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (10:58:27) | ===> btop++ v.1.4.0
2024/11/10 (10:58:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (15:03:26) | ===> btop++ v.1.4.0
2024/11/10 (15:03:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (15:12:46) | ===> btop++ v.1.4.0
2024/11/11 (15:12:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (15:50:48) | ===> btop++ v.1.4.0
2024/11/11 (15:50:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (15:51:02) | ===> btop++ v.1.4.0
2024/11/11 (15:51:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:13:49) | ===> btop++ v.1.4.0
2024/11/13 (12:13:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (17:55:46) | ===> btop++ v.1.4.0
2024/11/13 (17:55:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (10:45:22) | ===> btop++ v.1.4.0
2024/11/14 (10:45:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (22:07:20) | ===> btop++ v.1.4.0
2024/11/14 (22:07:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (22:08:29) | ===> btop++ v.1.4.0
2024/11/14 (22:08:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (23:30:34) | ===> btop++ v.1.4.0
2024/11/15 (23:30:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (15:10:06) | ===> btop++ v.1.4.0
2024/11/18 (15:10:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (16:54:45) | ===> btop++ v.1.4.0
2024/11/18 (16:54:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (17:21:16) | ===> btop++ v.1.4.0
2024/11/18 (17:21:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (18:27:45) | ===> btop++ v.1.4.0
2024/11/18 (18:27:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (08:25:07) | ===> btop++ v.1.4.0
2024/11/23 (08:25:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (19:27:41) | ===> btop++ v.1.4.0
2024/12/08 (19:27:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (15:08:02) | ===> btop++ v.1.4.0
2024/12/12 (15:08:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (14:16:21) | ===> btop++ v.1.4.0
2024/12/28 (14:16:21) | WARNING: Intel GPU: Failed to initialize PMU
